age,income,debt_to_income_ratio,credit_utilization,late_payments,credit_history_years,loan_amount,months_employed,savings_balance,existing_loans,monthly_debt_payment,employment_status,risk_flag,credit_score
25,55868.34,0.2915,0.2341,0,16,30970.96,160,2721.08,2,288.43,Full-time,1,837.36
57,53844.91,0.4778,0.2719,2,9,23518.01,169,12518.01,3,659.5,Full-time,1,729.52
51,93529.73,0.5856,0.206,1,15,16619.56,47,3133.65,2,465.17,Self-employed,1,636.99
41,95663.96,0.3114,0.2757,3,1,14509.85,75,8614.35,2,732.2,Full-time,1,675.16
41,52011.01,0.4067,0.5586,0,10,49314.68,28,47709.57,5,93.55,Full-time,1,611.67
61,55192.19,0.3547,0.5169,0,14,29818.29,15,6760.13,1,651.73,Full-time,1,626.86
25,84415.72,0.2073,0.147,0,3,8722.43,62,5491.1,0,309.99,Full-time,1,802.73
53,45596.54,0.4854,0.3713,1,16,18317.98,153,27707.05,0,798.88,Full-time,1,714.06
30,55009.42,0.4559,0.3716,1,14,43116.45,74,11099.22,2,328.58,Self-employed,1,657.0
25,68893.47,0.272,0.1179,1,9,26278.83,40,37362.46,1,369.85,Part-time,1,747.26
45,103587.55,0.4671,0.1424,2,16,21669.28,45,10537.07,0,713.36,Full-time,1,661.77
66,50409.28,0.2428,0.4294,2,15,7243.28,126,23119.34,1,464.39,Full-time,1,724.81
55,28880.65,0.2318,0.0996,6,4,91066.78,100,3600.7,0,523.84,Full-time,1,688.89
56,27932.08,0.3381,0.2158,1,1,29881.79,84,6035.25,2,413.66,Self-employed,1,739.62
54,37543.82,0.3327,0.3062,1,5,62844.89,67,11417.89,1,314.66,Part-time,1,704.47
57,36646.55,0.3692,0.0926,0,8,22267.8,169,9477.84,0,363.32,Full-time,1,850.0
45,61723.82,0.3854,0.2506,0,12,17805.01,28,111682.18,2,505.75,Unemployed,1,695.06
27,38754.57,0.4943,0.2821,2,3,11486.61,139,31682.64,0,614.86,Full-time,1,697.02
60,48231.15,0.3576,0.3158,1,6,35691.13,179,30976.23,3,169.14,Full-time,1,787.94
42,46707.56,0.4837,0.1919,2,7,51447.26,144,11554.74,2,310.24,Self-employed,1,726.92
44,54272.42,0.6093,0.1991,1,9,37381.39,98,4088.52,1,168.76,Full-time,1,674.1
38,119985.59,0.4871,0.3822,1,8,87462.69,109,55396.36,1,288.68,Part-time,1,674.15
29,89132.24,0.412,0.38,2,8,19766.42,154,3368.84,0,320.64,Part-time,1,709.73
64,66653.19,0.3574,0.2545,0,12,11677.06,27,8369.25,3,588.4,Full-time,1,701.66
57,53773.61,0.5556,0.0961,2,12,21592.52,146,21750.45,0,499.66,Full-time,1,730.96
51,54450.39,0.3512,0.1615,1,14,31661.45,32,122659.1,0,322.47,Full-time,1,705.93
39,76686.88,0.4187,0.4205,0,17,15003.86,28,58652.66,2,117.05,Full-time,1,642.6
59,86066.55,0.4906,0.2807,2,17,17493.74,10,22685.76,4,227.63,Part-time,1,590.98
46,43983.6,0.3078,0.1909,1,15,20945.56,21,83011.16,2,314.86,Full-time,1,702.44
41,67266.41,0.1767,0.4157,1,6,25476.25,114,8780.52,1,920.8,Unemployed,1,763.06
42,26523.1,0.3639,0.3419,2,12,19818.25,19,19598.35,1,468.51,Unemployed,1,621.19
31,72785.44,0.4273,0.2767,0,12,20902.88,125,46175.96,1,210.25,Self-employed,1,756.8
25,93243.27,0.3527,0.1135,2,12,28145.29,19,4055.69,2,193.77,Part-time,1,681.65
47,58335.68,0.6585,0.2778,2,15,30885.9,39,18393.54,1,352.15,Self-employed,1,565.5
62,149857.05,0.3889,0.1861,1,14,12752.68,67,19457.51,4,250.29,Self-employed,1,717.64
23,44508.82,0.4682,0.3963,3,7,4987.02,155,18942.81,1,205.75,Full-time,1,664.63
61,72973.25,0.4328,0.2977,2,4,8718.84,30,5503.33,2,250.46,Full-time,1,620.73
59,65112.96,0.1823,0.3882,0,10,24902.65,65,19354.8,2,314.85,Full-time,1,752.43
34,63250.99,0.1862,0.7317,4,11,10812.14,22,17159.68,3,689.47,Self-employed,1,529.55
50,62853.07,0.5682,0.2843,0,12,21717.75,41,8373.55,2,593.3,Unemployed,1,642.63
28,69438.54,0.3895,0.1836,2,1,17325.39,97,25928.25,0,516.0,Full-time,1,718.08
56,96914.21,0.3488,0.2337,2,2,18898.96,135,42109.62,3,610.78,Self-employed,1,749.44
53,123005.13,0.3379,0.5489,0,13,25436.69,96,7348.82,2,507.79,Self-employed,1,691.4
37,66104.19,0.2955,0.2685,5,11,41481.23,113,20351.35,2,668.87,Part-time,1,663.39
24,95501.02,0.5427,0.2428,3,13,17824.82,65,43204.09,5,215.61,Full-time,1,605.66
66,48252.59,0.5214,0.3371,2,10,8695.15,38,43888.43,7,156.52,Full-time,1,590.97
41,93403.11,0.2985,0.167,1,14,22419.46,119,11711.77,1,418.75,Full-time,1,792.87
62,46962.46,0.4107,0.1881,0,6,29704.9,150,33233.51,0,568.31,Full-time,1,804.76
52,108098.38,0.5421,0.2315,0,9,3723.57,109,10867.67,1,382.92,Full-time,1,720.33
57,178936.88,0.3771,0.3737,1,17,10876.62,21,26768.24,1,224.55,Full-time,1,635.95
56,62633.92,0.2307,0.2916,1,17,18406.64,179,7128.14,0,519.35,Part-time,1,832.06
30,24670.3,0.3978,0.1705,0,2,12884.62,36,3664.9,2,422.11,Full-time,1,718.04
38,51707.97,0.2859,0.7291,0,3,19813.56,99,21012.18,3,270.87,Part-time,1,664.46
42,115190.64,0.5518,0.3266,1,17,11650.97,138,28218.28,1,276.89,Self-employed,1,692.81
44,84870.73,0.5514,0.2913,4,10,34750.67,176,24350.59,3,95.62,Unemployed,1,658.42
23,74014.12,0.4764,0.4735,1,11,18694.27,98,6669.43,2,152.96,Self-employed,1,645.37
46,104182.64,0.4027,0.228,0,1,5116.16,165,1632.57,2,143.47,Self-employed,1,809.69
28,82289.93,0.3418,0.3005,4,2,30090.7,79,28071.56,4,128.83,Full-time,1,638.17
55,114459.5,0.628,0.1551,0,12,31458.72,17,46161.28,1,553.6,Self-employed,1,636.99
53,100081.55,0.163,0.241,1,4,17568.54,29,2669.08,2,73.17,Part-time,1,740.02
64,131237.67,0.2946,0.2218,2,14,4976.29,165,10304.83,0,61.79,Full-time,1,793.67
56,77765.89,0.3598,0.3605,1,14,33906.77,18,6027.24,1,1105.26,Unemployed,1,641.93
38,99445.67,0.4307,0.3758,2,17,8818.33,166,16468.49,2,293.83,Full-time,1,715.17
66,57629.67,0.3529,0.3696,1,4,14003.9,79,41615.04,2,167.73,Self-employed,1,692.56
40,50480.51,0.4176,0.1828,0,7,12065.3,171,10959.68,1,1152.16,Part-time,1,821.52
36,142635.18,0.1926,0.1456,1,1,6583.57,177,8688.15,3,209.91,Full-time,1,850.0
63,72932.68,0.3738,0.2741,2,10,18111.32,16,18626.45,0,574.6,Unemployed,1,632.67
38,95053.6,0.6321,0.1665,1,10,20783.67,113,2196.4,0,301.85,Full-time,1,687.91
24,69960.29,0.6136,0.1404,2,2,19523.56,8,27230.89,3,120.91,Full-time,1,587.49
43,50821.15,0.4067,0.3029,1,17,15575.72,59,32829.56,1,48.9,Unemployed,1,676.43
58,66499.01,0.2338,0.3728,3,10,10705.55,170,13413.01,2,321.94,Full-time,1,753.33
29,126272.47,0.3152,0.3479,0,7,50431.39,179,9192.92,2,203.09,Full-time,1,817.63
42,84953.39,0.261,0.3612,2,14,20531.95,27,10516.1,2,322.79,Full-time,1,653.9
27,30633.12,0.3822,0.5109,3,8,9368.96,179,10553.61,3,583.22,Full-time,1,681.78
53,60062.44,0.2794,0.1862,2,13,24546.33,35,12722.53,1,438.52,Self-employed,1,698.8
43,147566.21,0.2071,0.5105,5,14,23274.14,62,3546.13,1,730.33,Full-time,1,586.91
36,60101.58,0.3781,0.113,0,14,27742.89,95,18992.96,2,121.83,Full-time,1,787.49
31,29430.43,0.6028,0.4567,1,11,17631.59,41,9777.49,2,306.07,Unemployed,1,564.15
47,155107.24,0.2133,0.589,2,6,11662.82,14,13595.92,2,105.34,Self-employed,1,600.43
52,89956.06,0.5054,0.3016,0,5,6914.62,37,8173.8,0,943.78,Full-time,1,653.81
65,64118.88,0.3977,0.2092,1,17,12441.49,14,18466.37,2,106.42,Unemployed,1,665.06
41,55986.28,0.5947,0.217,0,10,5656.54,107,41355.62,2,221.04,Unemployed,1,706.51
28,107694.99,0.2079,0.3412,1,10,22260.31,116,15952.41,3,344.97,Part-time,1,774.0
60,51849.86,0.3511,0.4549,1,8,5858.74,58,3323.31,1,48.65,Part-time,1,654.28
50,110936.74,0.5312,0.3086,3,10,14061.29,151,13408.84,2,648.28,Full-time,1,664.32
53,84456.16,0.4741,0.4392,1,1,30039.68,141,15967.67,0,1018.21,Part-time,1,690.47
25,73873.31,0.4221,0.4227,1,11,15222.68,62,12752.86,1,298.21,Full-time,1,644.36
35,70649.17,0.315,0.1425,2,2,17302.98,65,6966.84,2,408.55,Unemployed,1,724.04
57,61160.96,0.6156,0.2176,0,10,24598.33,73,12850.36,2,303.86,Full-time,1,671.75
60,105930.45,0.4192,0.1398,0,11,25830.58,110,27319.18,1,538.61,Full-time,1,780.96
41,44828.34,0.4976,0.6393,1,17,37292.03,152,10388.76,3,395.31,Self-employed,1,642.56
58,31892.74,0.5498,0.5437,0,3,26751.22,47,43170.06,4,948.3,Part-time,1,588.3
60,87246.97,0.4237,0.2008,0,15,23166.73,61,7686.66,2,355.55,Full-time,1,723.52
39,87908.98,0.534,0.4941,1,14,4568.7,88,5561.12,0,602.84,Full-time,1,614.61
63,82134.1,0.3696,0.412,1,14,21357.58,47,10970.86,1,371.15,Part-time,1,650.29
34,79497.25,0.5325,0.1067,0,9,57583.93,119,2373.24,2,153.97,Part-time,1,762.74
32,57282.87,0.1632,0.4212,0,15,28372.74,17,13262.56,2,631.0,Full-time,1,709.91
53,94312.33,0.6091,0.148,1,2,35551.98,178,10075.3,1,131.13,Self-employed,1,753.6
50,64828.39,0.2071,0.2741,0,9,11248.66,52,23956.73,0,510.16,Full-time,1,762.68
27,53146.04,0.3503,0.1881,0,17,17185.1,56,3124.75,0,343.4,Self-employed,1,744.55
60,57506.25,0.6744,0.1748,1,11,26774.35,51,25603.58,3,337.68,Part-time,1,621.48
30,164273.48,0.2634,0.2889,3,15,24590.56,136,15233.19,4,606.21,Full-time,1,737.09
58,30310.84,0.5841,0.2878,2,10,31353.25,32,51404.77,0,696.94,Full-time,1,579.49
21,82859.75,0.3136,0.3259,0,11,8151.64,110,11562.82,3,511.8,Part-time,1,766.11
58,31082.5,0.2633,0.4775,1,13,10350.91,121,17854.76,1,787.49,Full-time,1,727.47
57,63025.52,0.382,0.2652,1,13,7290.62,136,22909.88,1,291.07,Full-time,1,757.43
57,54440.72,0.3917,0.4135,4,8,21613.13,96,2371.52,1,300.7,Self-employed,1,609.12
52,25893.24,0.3692,0.1133,0,12,15817.92,111,34345.86,1,107.22,Full-time,1,803.42
43,78831.42,0.6744,0.4419,2,6,15737.45,83,11971.94,3,301.61,Part-time,1,556.37
54,55769.53,0.1694,0.5651,2,1,11198.56,22,4535.19,4,260.36,Full-time,1,626.24
34,25728.57,0.347,0.466,1,2,9992.43,5,12530.86,2,354.12,Full-time,1,608.57
57,96548.97,0.2181,0.6008,1,11,18057.1,45,36150.73,0,392.66,Full-time,1,646.87
47,126216.35,0.4993,0.3467,1,11,39149.84,129,9986.16,1,381.03,Unemployed,1,696.04
42,129386.06,0.2416,0.2028,0,5,54023.86,129,14595.65,6,253.14,Self-employed,1,834.32
44,77771.51,0.4393,0.4595,0,8,54157.09,108,2438.09,0,376.51,Full-time,1,693.34
47,67556.95,0.5065,0.0929,2,17,12992.18,134,6456.03,1,385.69,Full-time,1,736.49
22,120291.17,0.2866,0.2101,1,14,7878.44,144,24382.67,1,634.9,Self-employed,1,806.5
27,141078.62,0.4976,0.1426,1,7,33476.22,114,32853.35,3,137.94,Full-time,1,735.07
32,110205.92,0.2684,0.1832,0,10,44012.63,87,15983.6,2,277.89,Full-time,1,796.18
26,43317.33,0.1765,0.3918,2,12,24156.91,38,21943.63,1,209.85,Full-time,1,680.77
41,72446.61,0.2074,0.2191,0,13,17746.21,23,9505.72,4,651.33,Part-time,1,752.17
52,80642.6,0.243,0.2611,1,3,11628.22,22,13593.61,1,93.03,Part-time,1,705.16
51,29309.66,0.397,0.2731,2,5,27553.51,22,5423.3,2,684.3,Part-time,1,630.96
43,81732.93,0.537,0.1442,1,9,26983.99,133,8803.27,2,176.74,Self-employed,1,738.68
61,184028.57,0.266,0.3532,1,16,21984.43,123,13041.9,2,703.41,Full-time,1,759.4
47,88253.73,0.5087,0.2485,1,2,8312.22,115,3537.2,4,216.07,Self-employed,1,706.1
24,128416.72,0.1573,0.437,1,13,8995.63,92,102249.77,1,506.31,Part-time,1,745.23
56,71848.26,0.4957,0.3049,1,7,16886.36,101,7340.66,2,205.38,Unemployed,1,684.23
48,64026.46,0.2936,0.2736,0,7,37395.87,48,15973.99,2,425.04,Part-time,1,733.52
50,78556.4,0.3031,0.2732,0,10,34090.52,6,4615.23,1,410.27,Self-employed,1,695.77
47,45838.43,0.3521,0.4709,1,4,13638.24,150,1022.56,3,231.66,Full-time,1,726.64
47,42886.02,0.3955,0.4485,1,11,5020.01,112,57271.55,1,344.39,Full-time,1,687.56
25,116989.22,0.3931,0.4604,2,9,45921.0,170,14014.97,0,258.92,Full-time,1,708.64
47,122706.92,0.2422,0.1544,1,7,42986.19,140,2105.01,4,195.54,Full-time,1,830.41
